Date,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Volume,GSPC_AdjClose
1990-01-02,353.399994,359.690002,351.980011,359.690002,162070000.0,359.690002
1990-01-03,359.690002,360.589996,357.890015,358.76001,192330000.0,358.76001
1990-01-04,358.76001,358.76001,352.890015,355.670013,177000000.0,355.670013
1990-01-05,355.670013,355.670013,351.350006,352.200012,158530000.0,352.200012
1990-01-08,352.200012,354.23999,350.540009,353.790009,140110000.0,353.790009
1990-01-09,353.829987,354.170013,349.609985,349.619995,155210000.0,349.619995
1990-01-10,349.619995,349.619995,344.320007,347.309998,175990000.0,347.309998
1990-01-11,347.309998,350.140015,347.309998,348.52999900000003,154390000.0,348.52999900000003
1990-01-12,348.52999900000003,348.52999900000003,339.48999,339.929993,183880000.0,339.929993
1990-01-15,339.929993,339.940002,336.570007,337.0,140590000.0,337.0
1990-01-16,337.0,340.75,333.369995,340.75,186070000.0,340.75
1990-01-17,340.769989,342.01001,336.26001,337.399994,170470000.0,337.399994
1990-01-18,337.399994,338.380005,333.980011,338.190002,178590000.0,338.190002
1990-01-19,338.190002,340.480011,338.190002,339.149994,185590000.0,339.149994
1990-01-22,339.140015,339.959991,330.27999900000003,330.380005,148380000.0,330.380005
1990-01-23,330.380005,332.76001,328.670013,331.609985,179300000.0,331.609985
1990-01-24,331.609985,331.709991,324.170013,330.26001,207830000.0,330.26001
1990-01-25,330.26001,332.329987,325.329987,326.079987,172270000.0,326.079987
1990-01-26,326.089996,328.579987,321.440002,325.799988,198190000.0,325.799988
1990-01-29,325.799988,327.309998,321.790009,325.200012,150770000.0,325.200012
1990-01-30,325.200012,325.730011,319.829987,322.980011,186030000.0,322.980011
1990-01-31,322.980011,329.079987,322.980011,329.079987,189660000.0,329.079987
1990-02-01,329.079987,329.859985,327.76001,328.790009,154580000.0,328.790009
1990-02-02,328.790009,332.100006,328.089996,330.920013,164400000.0,330.920013
1990-02-05,330.920013,332.160004,330.450012,331.850006,130950000.0,331.850006
1990-02-06,331.850006,331.859985,328.200012,329.660004,134070000.0,329.660004
1990-02-07,329.660004,333.76001,326.549988,333.75,186710000.0,333.75
1990-02-08,333.75,336.089996,332.0,332.959991,176240000.0,332.959991
1990-02-09,333.019989,334.600006,332.410004,333.619995,146910000.0,333.619995
1990-02-12,333.619995,333.619995,329.97000099999997,330.079987,118390000.0,330.079987
1990-02-13,330.079987,331.609985,327.920013,331.019989,144490000.0,331.019989
1990-02-14,331.019989,333.200012,330.640015,332.01001,138530000.0,332.01001
1990-02-15,332.01001,335.209991,331.609985,334.890015,174620000.0,334.890015
1990-02-16,334.890015,335.640015,332.420013,332.72000099999997,166840000.0,332.72000099999997
1990-02-20,332.72000099999997,332.72000099999997,326.26001,327.98999,147300000.0,327.98999
1990-02-21,327.910004,328.170013,324.47000099999997,327.670013,159240000.0,327.670013
1990-02-22,327.670013,330.980011,325.700012,325.700012,184320000.0,325.700012
1990-02-23,325.700012,326.149994,322.100006,324.149994,148490000.0,324.149994
1990-02-26,324.160004,328.670013,323.980011,328.670013,148900000.0,328.670013
1990-02-27,328.679993,331.940002,328.47000099999997,330.26001,152590000.0,330.26001
1990-02-28,330.26001,333.480011,330.160004,331.890015,184400000.0,331.890015
1990-03-01,331.890015,334.399994,331.079987,332.73999,157930000.0,332.73999
1990-03-02,332.73999,335.540009,332.72000099999997,335.540009,164330000.0,335.540009
1990-03-05,335.540009,336.380005,333.48999,333.73999,140110000.0,333.73999
1990-03-06,333.73999,337.929993,333.570007,337.929993,143640000.0,337.929993
1990-03-07,337.929993,338.839996,336.329987,336.950012,163580000.0,336.950012
1990-03-08,336.950012,340.660004,336.950012,340.269989,170900000.0,340.269989
1990-03-09,340.119995,340.269989,336.839996,337.929993,150410000.0,337.929993
1990-03-12,337.929993,339.079987,336.140015,338.670013,114790000.0,338.670013
1990-03-13,338.670013,338.670013,335.359985,336.0,145440000.0,336.0
1990-03-14,336.0,337.630005,334.929993,336.869995,145060000.0,336.869995
1990-03-15,336.869995,338.910004,336.869995,338.070007,144410000.0,338.070007
1990-03-16,338.070007,341.910004,338.070007,341.910004,222520000.0,341.910004
1990-03-19,341.910004,343.76001,339.119995,343.52999900000003,142300000.0,343.52999900000003
1990-03-20,343.52999900000003,344.48999,340.869995,341.570007,177320000.0,341.570007
1990-03-21,341.570007,342.339996,339.559998,339.73999,130990000.0,339.73999
1990-03-22,339.73999,339.769989,333.619995,335.690002,175930000.0,335.690002
1990-03-23,335.690002,337.579987,335.690002,337.22000099999997,132070000.0,337.22000099999997
1990-03-26,337.22000099999997,339.73999,337.22000099999997,337.630005,116110000.0,337.630005
1990-03-27,337.630005,341.5,337.02999900000003,341.5,131610000.0,341.5
1990-03-28,341.5,342.579987,340.600006,342.0,142300000.0,342.0
1990-03-29,342.0,342.070007,339.769989,340.790009,132190000.0,340.790009
1990-03-30,340.790009,341.410004,338.209991,339.940002,139340000.0,339.940002
1990-04-02,339.940002,339.940002,336.329987,338.700012,124360000.0,338.700012
1990-04-03,338.700012,343.76001,338.700012,343.640015,154310000.0,343.640015
1990-04-04,343.640015,344.119995,340.399994,341.089996,159530000.0,341.089996
1990-04-05,341.089996,342.850006,340.630005,340.730011,144170000.0,340.730011
1990-04-06,340.730011,341.730011,338.940002,340.079987,137490000.0,340.079987
1990-04-09,340.079987,341.829987,339.880005,341.369995,114970000.0,341.369995
1990-04-10,341.369995,342.410004,340.619995,342.070007,136020000.0,342.070007
1990-04-11,342.070007,343.0,341.26001,341.920013,141080000.0,341.920013
1990-04-12,341.920013,344.790009,341.910004,344.339996,142470000.0,344.339996
1990-04-16,344.339996,347.299988,344.100006,344.73999,142810000.0,344.73999
1990-04-17,344.73999,345.190002,342.059998,344.679993,127990000.0,344.679993
1990-04-18,344.679993,345.329987,340.109985,340.72000099999997,147130000.0,340.72000099999997
1990-04-19,340.72000099999997,340.72000099999997,337.589996,338.089996,152930000.0,338.089996
1990-04-20,338.089996,338.519989,333.410004,335.119995,174260000.0,335.119995
1990-04-23,335.119995,335.119995,330.089996,331.049988,136150000.0,331.049988
1990-04-24,331.049988,332.97000099999997,329.709991,330.359985,137360000.0,330.359985
1990-04-25,330.359985,332.73999,330.359985,332.02999900000003,133480000.0,332.02999900000003
1990-04-26,332.02999900000003,333.76001,330.670013,332.920013,141330000.0,332.920013
1990-04-27,332.920013,333.570007,328.709991,329.109985,130630000.0,329.109985
1990-04-30,329.109985,331.309998,327.76001,330.799988,122750000.0,330.799988
1990-05-01,330.799988,332.829987,330.799988,332.25,149020000.0,332.25
1990-05-02,332.25,334.480011,332.149994,334.480011,141610000.0,334.480011
1990-05-03,334.480011,337.019989,334.47000099999997,335.570007,145560000.0,335.570007
1990-05-04,335.579987,338.459991,335.170013,338.390015,140550000.0,338.390015
1990-05-07,338.390015,341.070007,338.109985,340.52999900000003,132760000.0,340.52999900000003
1990-05-08,340.52999900000003,342.02999900000003,340.170013,342.01001,144230000.0,342.01001
1990-05-09,342.01001,343.079987,340.899994,342.859985,152220000.0,342.859985
1990-05-10,342.869995,344.980011,342.769989,343.820007,158460000.0,343.820007
1990-05-11,343.820007,352.309998,343.820007,352.0,234040000.0,352.0
1990-05-14,352.0,358.410004,351.950012,354.75,225410000.0,354.75
1990-05-15,354.75,355.089996,352.839996,354.27999900000003,165730000.0,354.27999900000003
1990-05-16,354.269989,354.679993,351.950012,354.0,159810000.0,354.0
